date,trends_signal,wiki_signal,upload_count,total_views_of_new_videos,unique_channels,total_likes,youtube_signal,youtube_creator_signal,log_views,log_likes,youtube_audience_signal,hype_index_equal,hype_index_pca
2024-02-18,0.010309278350515464,0.06954315530413169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026617477884882387,0.03504576808218837
2024-02-25,0.01718213058419244,0.07345314817609323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030211759586761894,0.04064793363825107
2024-03-03,0.020618556701030927,0.0769042965754744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03250761775883511,0.04416354680702277
2024-03-10,0.01718213058419244,0.07111966639307758,0.016129032258064516,0.00236690047988996,0.019230769230769232,24522.0,0.010430324959967978,0.017679900744416874,0.691767146140196,0.6155380191475166,0.6536525826438563,0.03291070731241267,0.046242728411531084
2024-03-17,0.01718213058419244,0.06600244635261585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027728192312269428,0.03708963674364976
2024-03-24,0.01718213058419244,0.07074056761760344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029307566067265294,0.039352462794522515
2024-03-31,0.010309278350515464,0.06286169274350963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390323698008365,0.03185484351640563
2024-04-07,0.013745704467353952,0.06348125546718097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025742319978178312,0.03401815152582615
2024-04-14,0.013745704467353952,0.05451170482804988,0.016129032258064516,0.005433199637121093,0.019230769230769232,115271.0,0.01215948872194291,0.017679900744416874,0.7341286419614242,0.709791825815959,0.7219602338886917,0.026805632672448912,0.03755597039963374
2024-04-21,0.013745704467353952,0.054588996811398977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02277823375958431,0.029771397715177346
2024-04-28,0.01718213058419244,0.052460400127102375,0.016129032258064516,0.0125795978765177,0.019230769230769232,109715.0,0.016189523702406037,0.017679900744416874,0.776928643396536,0.7067834087675485,0.7418560260820423,0.02861068480456695,0.0410360139312698
2024-05-05,0.01718213058419244,0.05511409155542142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024098740713204624,0.03188958982456752
2024-05-12,0.027491408934707903,0.04639236600575887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02462792498015559,0.03332653304943018
2024-05-19,0.030927835051546393,0.06030737672235371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030411737257966698,0.04183946454753739
2024-05-26,0.024054982817869417,0.04267253594997369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022242506255947703,0.029682603229922812
2024-06-02,0.01718213058419244,0.04564275645296047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020941629012384305,0.027366281405940496
2024-06-09,0.01718213058419244,0.04357182204195605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020251317542049497,0.026377247129950543
