date,trends_signal,wiki_signal,upload_count,total_views_of_new_videos,unique_channels,total_likes,youtube_signal,youtube_creator_signal,log_views,log_likes,youtube_audience_signal,hype_index_equal,hype_index_pca,z_score,is_spike
2023-11-12,0.0481099656357388,0.0009692169340601,0.0161290322580645,0.0173201738901424,0.0192307692307692,350276.0,0.0188628545919627,0.0176799007444168,0.7932317681080033,0.7774778279757857,0.7853547980418945,0.0226473457205872,0.0349712778683054,0.4808150228097438,False
2023-11-19,0.0378006872852233,0.0005336827421723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0127781233424652,0.0170276542753498,-0.3953006463134973,False
2023-11-26,0.0652920962199312,0.0004171313387094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0219030758528802,0.0319113359270063,0.25551798628305555,False
2023-12-03,0.4295532646048109,0.0005717153054076,0.0161290322580645,0.0275003976484351,0.0192307692307692,328220.0,0.024603740627209,0.0176799007444168,0.8168011939789585,0.7735170720512141,0.7951591330150862,0.1515762401791425,0.2457576144468529,2.415261896598367,True
2023-12-10,0.0962199312714776,1.0,0.3064516129032258,1.0,0.3461538461538461,13529426.0,0.7367411560214163,0.326302729528536,1.0,1.0,1.0,0.6109870290976314,1.0,2.4125103440642346,True
2023-12-17,0.0584192439862542,0.1958014503902018,0.032258064516129,0.1695676006244892,0.0384615384615384,2376141.0,0.1138146046756839,0.0353598014888337,0.9095361095059128,0.8940713201536132,0.9018037148297632,0.12267843301738,0.1946981572210255,-0.006432667797478759,False
2023-12-24,0.0446735395189003,0.1288064768228332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0578266721139112,0.0820228514986361,-0.3598440108302705,False
2023-12-31,0.0412371134020618,0.104238667829727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0484919270772629,0.0684223698711327,-0.4126092676262333,False
2024-01-07,0.0206185567010309,0.0973253293190576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0393146286733628,0.0539161981837127,-0.4716890413377891,False
2024-01-14,0.0206185567010309,0.0966211134707658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390798900572655,0.0535798796562138,-0.49452254263335516,False
2024-01-21,0.0171821305841924,0.0938533243527409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0370118183123111,0.0503906243616876,-0.5177304114318636,False
2024-01-28,0.0171821305841924,0.0937134626685854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0369651977509259,0.0503238293928115,-0.4379346324152699,False
2024-02-04,0.0171821305841924,0.0894869407219562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0355563571020495,0.0483053323070382,-0.5613873434645418,False
2024-02-11,0.0171821305841924,0.0762712384261389,0.0161290322580645,0.0495012467521896,0.0192307692307692,728304.0,0.0370105767029309,0.0176799007444168,0.8467670022492157,0.8220563183195129,0.8344116602843643,0.0434879819044207,0.0658005262391583,0.1677505575928265,False
2024-02-18,0.0103092783505154,0.0695431553041316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0266174778848823,0.0350457680821883,-1.85005374808212,False
2024-02-25,0.0171821305841924,0.0734531481760932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0302117595867618,0.040647933638251,-1.0880076055560712,False
2024-03-03,0.0206185567010309,0.0769042965754744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0325076177588351,0.0441635468070227,-0.5049136295843523,False
2024-03-10,0.0171821305841924,0.0711196663930775,0.0161290322580645,0.0023669004798899,0.0192307692307692,24522.0,0.0104303249599679,0.0176799007444168,0.691767146140196,0.6155380191475166,0.6536525826438563,0.0329107073124126,0.046242728411531,-0.2943807705194813,False
2024-03-17,0.0171821305841924,0.0660024463526158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0277281923122694,0.0370896367436497,-1.011868934288075,False
2024-03-24,0.0171821305841924,0.0707405676176034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0293075660672652,0.0393524627945225,-0.5544142833625413,False
2024-03-31,0.0103092783505154,0.0628616927435096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0243903236980083,0.0318548435164056,-1.1135436675737456,False
